CookerStat, GenerateAssetRegistry=0.035621, Initialize=0.172056, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_0, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/NewPaperTileMap.uasset, AutoPackageBackupDelegate=0.105347, FlushAsyncLoading=0.005733, FlushStreamingFunc=0.079993, BlockTillAllRequestsFinished=0.006944, ResetLoadersForSaveUnMarkAllObjects=0.348035, TagPackageExports=0.087541, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.474211, GatherLocalizableTextData=0.659853, MarkNames=0.009660, SerializeSummary=0.022337, SerializeNames=0.044674, SerializeGatherableTextData=0.004530, BuildExportMap=0.022337, SortExportsNonSeekfree=0.010565, SortExportsSeekfreeConstructor=0.076368, SortExportsSeekfreeInner=0.446744, SortExportsSeekfree=0.002716, BuildDependencyMap=0.013884, SerializeImportMap=0.009056, SerializeExportMap=0.004832, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001512, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.042863, SerializeExports=1.832552, SerializeBulkData=0.022639, MoveFile=0.543036, UnaccountedTime=0.777572, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_1, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/NewPaperTileSet.uasset, AutoPackageBackupDelegate=0.087839, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.040751, BlockTillAllRequestsFinished=0.005130, ResetLoadersForSaveUnMarkAllObjects=0.132211, TagPackageExports=0.099011, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.473306, GatherLocalizableTextData=0.544846, MarkNames=0.004832, SerializeSummary=0.009660, SerializeNames=0.027467, SerializeGatherableTextData=0.001207, BuildExportMap=0.010263, SortExportsNonSeekfree=0.003021, SortExportsSeekfreeConstructor=0.007544, SortExportsSeekfreeInner=0.261709, SortExportsSeekfree=0.002716, BuildDependencyMap=0.005130, SerializeImportMap=0.004828, SerializeExportMap=0.003926, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.148077, SerializeExports=2.553683, SerializeBulkData=0.005133, MoveFile=0.554807, UnaccountedTime=0.588011, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_2, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/NewPaperTileMap.uasset, AutoPackageBackupDelegate=108.767616, FlushAsyncLoading=0.006340, FlushStreamingFunc=0.072446, BlockTillAllRequestsFinished=0.006337, ResetLoadersForSaveUnMarkAllObjects=0.137042, TagPackageExports=0.094481, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.508927, GatherLocalizableTextData=0.731692, MarkNames=0.006340, SerializeSummary=0.011168, SerializeNames=0.027165, SerializeGatherableTextData=0.003926, BuildExportMap=0.018109, SortExportsNonSeekfree=0.006944, SortExportsSeekfreeConstructor=0.008151, SortExportsSeekfreeInner=0.661664, SortExportsSeekfree=0.003319, BuildDependencyMap=0.006944, SerializeImportMap=0.005133, SerializeExportMap=0.004526, SerializeDependencyMap=0.001512, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.033505, SerializeExports=1.826216, SerializeBulkData=0.005431, MoveFile=0.648685, UnaccountedTime=0.577446, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_3, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/NewPaperTileMap.uasset, AutoPackageBackupDelegate=0.695471, FlushAsyncLoading=0.003017, FlushStreamingFunc=0.067618, BlockTillAllRequestsFinished=0.006035, ResetLoadersForSaveUnMarkAllObjects=0.135232, TagPackageExports=0.082709, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.459723, GatherLocalizableTextData=0.783008, MarkNames=0.006340, SerializeSummary=0.010867, SerializeNames=0.031091, SerializeGatherableTextData=0.003923, BuildExportMap=0.016905, SortExportsNonSeekfree=0.006944, SortExportsSeekfreeConstructor=0.007845, SortExportsSeekfreeInner=0.653818, SortExportsSeekfree=0.002716, BuildDependencyMap=0.007242, SerializeImportMap=0.005435, SerializeExportMap=0.004224, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.033811, SerializeExports=1.771279, SerializeBulkData=0.006035, MoveFile=5.133327, UnaccountedTime=0.638422, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_4, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/NewPaperTileSet.uasset, AutoPackageBackupDelegate=1.131650, FlushAsyncLoading=0.004224, FlushStreamingFunc=0.053428, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.123456, TagPackageExports=0.098404, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.463348, GatherLocalizableTextData=0.503793, MarkNames=0.003923, SerializeSummary=0.009961, SerializeNames=0.028074, SerializeGatherableTextData=0.001207, BuildExportMap=0.010565, SortExportsNonSeekfree=0.003017, SortExportsSeekfreeConstructor=0.058863, SortExportsSeekfreeInner=0.252951, SortExportsSeekfree=0.002116, BuildDependencyMap=0.005431, SerializeImportMap=0.005435, SerializeExportMap=0.003923, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.097800, SerializeExports=2.536479, SerializeBulkData=0.007845, MoveFile=0.634499, UnaccountedTime=0.106253, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_5, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Saved/Autosaves/Game/TopDownBP/Maps/TopDownExampleMap_Auto1.umap, AutoPackageBackupDelegate=25.617134, FlushAsyncLoading=0.019621, FlushStreamingFunc=0.088442, BlockTillAllRequestsFinished=0.007547, ResetLoadersForSaveUnMarkAllObjects=30.492071, TagPackageExports=1.420826, BeginCacheForCookedPlatformData=0.002116, SerializeImports=2.790637, GatherLocalizableTextData=11.880968, MarkNames=0.070635, SerializeSummary=0.015698, SerializeNames=0.527941, SerializeGatherableTextData=0.027169, BuildExportMap=0.647474, SortExportsNonSeekfree=0.798102, SortExportsSeekfreeConstructor=0.057049, SortExportsSeekfreeInner=24.022743, SortExportsSeekfree=0.005130, BuildDependencyMap=0.123158, SerializeImportMap=0.050709, SerializeExportMap=0.047695, SerializeDependencyMap=0.013586, SerializeStringAssetReferenceMap=0.002414, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.193531, SerializeExports=16.110546, SerializeBulkData=141.651581, MoveFile=0.671323, UnaccountedTime=0.188354, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
DDCTransactionIdA4DAB02E4FB9377EBC4CEBB5A82EDC61_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24EF9C0B47C62D06EFEFD88222E764DC_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.09.14-21.28.42, Duration=17.894503, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
DDCTransactionIdFAD382354B93B2BBD6981C938DF9617F_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_24EF9C0B47C62D06EFEFD88222E76__F4B5C2791FE5C2AC10AAA10B423B270BEBE9BB7E, StartTime=2016.09.14-21.28.42, HierarchicalDDC=, DataSize=3270, Duration=1.316082, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_6, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/TopDownBP/Maps/TopDownExampleMap.umap, AutoPackageBackupDelegate=9.136517, FlushAsyncLoading=0.012677, FlushStreamingFunc=0.058558, BlockTillAllRequestsFinished=0.006340, ResetLoadersForSaveUnMarkAllObjects=31.260290, TagPackageExports=1.446787, BeginCacheForCookedPlatformData=0.002112, SerializeImports=2.614658, GatherLocalizableTextData=12.061782, MarkNames=0.076067, SerializeSummary=0.017807, SerializeNames=0.465460, SerializeGatherableTextData=0.027772, BuildExportMap=0.329923, SortExportsNonSeekfree=0.767916, SortExportsSeekfreeConstructor=0.055544, SortExportsSeekfreeInner=23.974743, SortExportsSeekfree=0.006340, BuildDependencyMap=0.142775, SerializeImportMap=0.059765, SerializeExportMap=0.064898, SerializeDependencyMap=0.012983, SerializeStringAssetReferenceMap=0.002414, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.139499, SerializeExports=30.012123, SerializeBulkData=132.236755, MoveFile=7.678863, UnaccountedTime=0.705130, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_7, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/Sprites/grass_Sprite.uasset, AutoPackageBackupDelegate=0.094477, FlushAsyncLoading=0.003323, FlushStreamingFunc=0.058860, BlockTillAllRequestsFinished=0.006039, ResetLoadersForSaveUnMarkAllObjects=0.141870, TagPackageExports=0.022940, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.415955, GatherLocalizableTextData=0.128288, MarkNames=0.005435, SerializeSummary=0.009961, SerializeNames=0.039846, SerializeGatherableTextData=0.000905, BuildExportMap=0.013884, SortExportsNonSeekfree=0.004224, SortExportsSeekfreeConstructor=0.007849, SortExportsSeekfreeInner=0.466365, SortExportsSeekfree=0.002414, BuildDependencyMap=0.006039, SerializeImportMap=0.006340, SerializeExportMap=0.005130, SerializeDependencyMap=0.000905, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.099218, SerializeExports=0.221260, SerializeBulkData=0.005130, MoveFile=64.121017, UnaccountedTime=0.730485, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
SavePackageTransactionId5BCC1C70492DE3A3ECADF6B06EE26598_8, Filename=../../../../../../Users/Demonic/Documents/Unreal Projects/MonsterGame/Content/MonsterGame/PlayerMonsters/Sprites/grass.uasset, AutoPackageBackupDelegate=0.072446, FlushAsyncLoading=0.003017, FlushStreamingFunc=0.024755, BlockTillAllRequestsFinished=0.003621, ResetLoadersForSaveUnMarkAllObjects=0.114404, TagPackageExports=0.055842, BeginCacheForCookedPlatformData=0.002719, SerializeImports=0.479642, GatherLocalizableTextData=0.051316, MarkNames=0.004228, SerializeSummary=0.008754, SerializeNames=0.018712, SerializeGatherableTextData=0.001207, BuildExportMap=0.009660, SortExportsNonSeekfree=0.003926, SortExportsSeekfreeConstructor=0.007544, SortExportsSeekfreeInner=0.118326, SortExportsSeekfree=0.002418, BuildDependencyMap=0.005130, SerializeImportMap=0.004828, SerializeExportMap=0.003926, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.461534, SerializeExports=0.109874, SerializeBulkData=0.013586, MoveFile=0.479948, UnaccountedTime=0.588916, RunGuid=RunIDD4E66BA649E24754D4E83F8CC4623CD8
